Date,Price_DayAhead,Load_Forecast,Solar,Wind_Offshore,Wind_Onshore
2018-10-05 18:00:00+02:00,78.66,,1663.58,1245.99,3502.4
2018-10-05 19:00:00+02:00,82.96,,4.26,1059.08,4787.84
2018-10-05 20:00:00+02:00,79.9,,0.0,891.4,6349.22
2018-10-05 21:00:00+02:00,65.08,,0.0,831.69,7726.82
2018-10-05 22:00:00+02:00,59.86,,0.0,801.12,8445.22
2018-10-05 23:00:00+02:00,54.7,,0.0,748.03,8830.28
2018-10-06 00:00:00+02:00,50.1,,0.0,561.93,9688.36
2018-10-06 01:00:00+02:00,52.98,,0.0,451.95,9072.43
2018-10-06 02:00:00+02:00,51.52,44517.67,0.0,345.66,8509.87
2018-10-06 03:00:00+02:00,51.0,43993.25,0.0,267.53,7906.6
2018-10-06 04:00:00+02:00,50.0,44476.76,0.0,213.37,7598.31
2018-10-06 05:00:00+02:00,46.91,44631.73,0.0,179.82,7422.14
2018-10-06 06:00:00+02:00,53.03,45187.17,0.0,214.04,7573.03
2018-10-06 07:00:00+02:00,62.37,48049.23,16.31,274.36,7730.66
2018-10-06 08:00:00+02:00,63.98,52291.33,1924.02,344.16,7714.8
2018-10-06 09:00:00+02:00,70.72,54848.16,7596.45,403.36,6771.74
2018-10-06 10:00:00+02:00,64.79,57118.76,13581.03,426.06,4560.82
2018-10-06 11:00:00+02:00,59.06,57957.32,18052.38,460.15,3360.25
2018-10-06 12:00:00+02:00,58.0,56983.69,20534.06,522.27,3383.98
2018-10-06 13:00:00+02:00,51.51,55227.21,20984.0,598.52,3922.77
2018-10-06 14:00:00+02:00,50.2,54088.97,19482.09,730.03,4393.18
2018-10-06 15:00:00+02:00,49.23,54244.27,16315.41,819.39,4668.2
2018-10-06 16:00:00+02:00,54.81,52801.65,11625.91,926.07,4834.05
2018-10-06 17:00:00+02:00,59.93,53149.4,6005.93,1135.64,4639.29
2018-10-06 18:00:00+02:00,72.06,53900.39,1220.87,1394.66,4654.27
2018-10-06 19:00:00+02:00,82.27,55565.9,2.11,1689.99,5223.09
2018-10-06 20:00:00+02:00,70.6,55122.83,0.0,2103.1,6177.94
2018-10-06 21:00:00+02:00,61.39,51669.73,0.0,2581.62,6756.59
2018-10-06 22:00:00+02:00,57.02,51138.47,0.0,3311.56,7165.31
2018-10-06 23:00:00+02:00,46.46,47771.13,0.0,3818.86,7821.62
2018-10-07 00:00:00+02:00,50.49,44686.88,0.0,4216.55,8532.29
2018-10-07 01:00:00+02:00,47.11,43082.21,0.0,3884.99,9377.88
2018-10-07 02:00:00+02:00,45.75,,0.0,3477.37,10154.35
2018-10-07 03:00:00+02:00,43.02,,0.0,3238.27,9984.43
2018-10-07 04:00:00+02:00,42.5,,0.0,3163.27,9666.21
2018-10-07 05:00:00+02:00,43.8,,0.0,3155.16,9303.58
2018-10-07 06:00:00+02:00,44.6,,0.0,3111.4,8761.8
2018-10-07 07:00:00+02:00,46.56,,7.8,3095.77,8373.78
2018-10-07 08:00:00+02:00,50.71,,1050.01,2916.16,8080.19
2018-10-07 09:00:00+02:00,55.98,,4475.26,2322.01,7098.6
2018-10-07 10:00:00+02:00,55.09,,8535.52,1698.91,6286.15
2018-10-07 11:00:00+02:00,55.13,,12038.99,1142.44,5918.2
2018-10-07 12:00:00+02:00,54.06,,14444.84,802.22,5529.13
2018-10-07 13:00:00+02:00,50.9,,15346.16,561.23,5052.17
2018-10-07 14:00:00+02:00,49.91,,14748.91,357.25,4612.89
2018-10-07 15:00:00+02:00,49.05,,12811.34,248.57,4271.11
2018-10-07 16:00:00+02:00,50.21,,9439.64,169.57,4031.11
2018-10-07 17:00:00+02:00,55.48,,5062.02,95.86,3883.92
2018-10-07 18:00:00+02:00,70.0,,982.92,62.29,3970.82
2018-10-07 19:00:00+02:00,80.94,,0.45,44.23,4321.62
2018-10-07 20:00:00+02:00,77.07,,0.0,49.67,4444.19
2018-10-07 21:00:00+02:00,71.47,,0.0,133.55,4178.47
2018-10-07 22:00:00+02:00,68.3,,0.0,292.18,3876.8
2018-10-07 23:00:00+02:00,59.91,,0.0,546.7,3604.45
2018-10-08 00:00:00+02:00,55.59,,0.0,1826.96,3036.77
2018-10-08 01:00:00+02:00,50.3,,0.0,2377.97,3138.73
2018-10-08 02:00:00+02:00,50.16,40721.59,0.0,2835.85,3387.52
2018-10-08 03:00:00+02:00,47.32,41017.57,0.0,3179.87,3612.04
2018-10-08 04:00:00+02:00,47.94,42153.51,0.0,3417.58,3950.08
2018-10-08 05:00:00+02:00,51.14,45264.55,0.0,3587.42,4316.06
2018-10-08 06:00:00+02:00,62.79,52764.98,0.0,3663.93,4560.42
2018-10-08 07:00:00+02:00,79.98,60497.66,10.3,3763.2,4747.47
2018-10-08 08:00:00+02:00,82.42,64028.3,1255.29,3874.56,4726.69
2018-10-08 09:00:00+02:00,81.58,64758.93,5992.02,3967.45,4178.62
2018-10-08 10:00:00+02:00,66.89,66045.75,11570.91,4070.15,3303.4
2018-10-08 11:00:00+02:00,52.06,67239.9,16348.08,4156.47,2927.83
2018-10-08 12:00:00+02:00,51.57,66377.97,19314.27,4171.46,2976.38
2018-10-08 13:00:00+02:00,49.96,66225.85,20417.95,4156.37,2972.14
2018-10-08 14:00:00+02:00,52.07,65209.85,19599.05,4157.86,2879.75
2018-10-08 15:00:00+02:00,52.81,63692.69,16959.68,4094.08,2722.64
2018-10-08 16:00:00+02:00,61.52,61512.69,12379.35,4001.21,2545.78
2018-10-08 17:00:00+02:00,74.9,61731.91,6445.58,3893.69,2324.72
2018-10-08 18:00:00+02:00,85.37,61883.03,1183.72,3799.72,2412.2
2018-10-08 19:00:00+02:00,102.01,63178.03,1.0,3727.22,2870.48
2018-10-08 20:00:00+02:00,85.77,62765.65,0.0,3577.48,3418.89
2018-10-08 21:00:00+02:00,78.1,59367.38,0.0,3361.67,3819.65
2018-10-08 22:00:00+02:00,58.01,55414.3,0.0,3105.69,4006.55
2018-10-08 23:00:00+02:00,52.95,51589.22,0.0,2901.29,4089.67
2018-10-09 00:00:00+02:00,56.77,48524.28,0.0,3036.95,4483.12
2018-10-09 01:00:00+02:00,57.43,46576.86,0.0,3083.62,4369.27
2018-10-09 02:00:00+02:00,55.11,,0.0,3151.27,4259.82
2018-10-09 03:00:00+02:00,52.35,,0.0,3223.35,4204.41
2018-10-09 04:00:00+02:00,54.86,,0.0,3293.88,4241.03
2018-10-09 05:00:00+02:00,57.99,,0.0,3335.47,4201.01
2018-10-09 06:00:00+02:00,74.27,,0.0,3411.65,4147.9
2018-10-09 07:00:00+02:00,91.37,,9.7,3508.28,4131.99
2018-10-09 08:00:00+02:00,96.68,,1179.05,3554.34,3991.38
2018-10-09 09:00:00+02:00,91.95,,5651.25,3595.13,3513.13
2018-10-09 10:00:00+02:00,82.54,,10800.18,3622.12,2709.27
2018-10-09 11:00:00+02:00,64.7,,15420.2,3671.29,2065.19
2018-10-09 12:00:00+02:00,54.31,,18353.87,3688.47,2168.62
2018-10-09 13:00:00+02:00,53.35,,19345.41,3691.45,2388.31
2018-10-09 14:00:00+02:00,55.64,,18510.75,3680.07,2416.78
2018-10-09 15:00:00+02:00,62.41,,15899.11,3494.45,2310.74
2018-10-09 16:00:00+02:00,68.97,,11520.33,3260.14,2112.38
2018-10-09 17:00:00+02:00,83.2,,5941.15,2980.05,1906.2
2018-10-09 18:00:00+02:00,90.0,,1010.79,2661.64,1965.5
2018-10-09 19:00:00+02:00,110.28,,1.0,2381.82,2373.41
2018-10-09 20:00:00+02:00,92.55,,0.0,2131.55,2866.67
2018-10-09 21:00:00+02:00,80.51,,0.0,1956.53,3377.18
2018-10-09 22:00:00+02:00,69.76,,0.0,1813.96,3747.14
2018-10-09 23:00:00+02:00,60.56,,0.0,1641.11,4096.98
2018-10-10 00:00:00+02:00,53.7,,0.0,1773.57,3591.81
2018-10-10 01:00:00+02:00,55.13,,0.0,1452.42,3331.37
2018-10-10 02:00:00+02:00,54.88,,0.0,1156.68,3047.79
